username,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,pagerank,load_centrality,hits_hub,hits_auth,clustering,triangles,eigenvector_centrality,square_clustering,community
andreasjoseph,0.07196401799100449,0.035982008995502246,0.035982008995502246,0.33855545011320154,0.0001489046766160584,0.0009216658107796306,0.00020141421699190252,0.0026924467568989682,0.002688358927457501,0.8007246376811594,221,0.03335799489487115,0.47607466806888393,8
aleksandra_maria7,0.07496251874062969,0.034482758620689655,0.04047976011994003,0.34979831990806953,0.00030427863961993336,0.0010253504580593794,0.00032095796366589347,0.0008337169726047769,0.0007803206923306552,0.6182336182336182,217,0.009531143818420776,0.22516685531400024,1
senoritanitaa,0.10794602698650674,0.05397301349325337,0.05397301349325337,0.31292451522202486,0.000320701644497939,0.001467446097149339,0.0003160927017793166,2.2195642774582607e-05,2.2257118711093056e-05,0.6777777777777778,427,0.0002950810704485851,0.38154083436782904,2
larabreitkreutz,0.16041979010494753,0.08545727136431784,0.07496251874062969,0.3803572878674233,0.006772404529558175,0.002297931765933754,0.007424817026971765,0.001739996527562611,0.0022218929086207,0.33998790078644886,562,0.027069418575220286,0.15211990540066697,1
beeeef.stew,0.031484257871064465,0.013493253373313342,0.017991004497751123,0.27521005616028904,0.0019411197007757367,0.0007762331254858726,0.001842178572439271,4.216059612998585e-06,3.1485676689322384e-06,0.3787878787878788,25,4.2181785951135115e-05,0.23511391920352287,2
cole_honeycutt,0.07496251874062969,0.037481259370314844,0.037481259370314844,0.3373313343328336,0.00035868639155186254,0.0010332795019417224,0.0003978172364902296,0.0011138801719885142,0.001100474549854149,0.46153846153846156,150,0.013485163284390093,0.17987225962368375,1
imalittleman_ish,0.34182908545727136,0.17391304347826086,0.1679160419790105,0.43918861013340005,0.0674026334096803,0.003960104564045062,0.06732498252985974,0.009509652235911286,0.009776923539720537,0.3950524737631184,2635,0.12082974388994237,0.26254441410248774,8
avavaxu,0.1664167916041979,0.08545727136431784,0.08095952023988005,0.34979831990806953,0.001830176278405681,0.0021901200722897803,0.0017971068054090824,0.0008959107126473517,0.00094854445325453,0.48370927318295737,772,0.0116137817843065,0.24594725772528717,0
sithmyirz,0.029985007496251874,0.014992503748125937,0.014992503748125937,0.30545999217416553,6.15128565859083e-06,0.0012995146726964095,5.663548891934699e-06,5.424058604211298e-06,5.739503126802269e-06,0.9111111111111111,41,6.792512404609399e-05,0.42496493688639553,10
missanndrisst,0.047976011994003,0.0239880059970015,0.0239880059970015,0.29129057237661277,0.00031904051605573393,0.0008521033367285281,0.00032228408045260475,6.281179734305201e-06,6.463432227966554e-06,0.5441176470588235,74,8.582072671730159e-05,0.2803762738437418,2
tonyteleky,0.18590704647676162,0.09295352323838081,0.09295352323838081,0.3514927143532647,0.0001950503454189065,0.0018880892628491542,0.00020408528521462547,0.007105228823363261,0.007008702863423218,0.7331524197195839,1621,0.08687463027040962,0.46446935167312775,8
alexblumenstock,0.2608695652173913,0.13343328335832083,0.12743628185907047,0.3871211993292032,0.0006313351912799443,0.0026065707118830095,0.0005823103114912866,0.009273556901909702,0.009508611727912892,0.652014652014652,2670,0.11673529619210034,0.41593235583537785,8
anniewang97,0.0704647676161919,0.043478260869565216,0.026986506746626684,0.29725692456457253,0.00017495152667825901,0.00118997519344131,0.00026867111118756794,0.00015653920529343468,0.000248098838606023,0.6735632183908046,293,0.003054703138505243,0.3761818319340443,0
rachelsaruski,0.043478260869565216,0.020989505247376312,0.022488755622188904,0.2885874782449694,5.8049064316504534e-05,0.0007415813854863776,6.16106333470249e-05,5.289544094670404e-06,5.381549317193547e-06,0.6571428571428571,69,6.976847933031948e-05,0.2676160990712074,2
10000alpacas,0.09295352323838081,0.05697151424287856,0.035982008995502246,0.3288386018471127,0.00024290673194981395,0.0015014553113229972,0.00023204669088929057,0.0002659610402498421,0.0004247751868505241,0.581646423751687,431,0.00523964978727762,0.3280009622323791,0
r_doubs,0.005997001499250375,0.0029985007496251873,0.0029985007496251873,0.30123314726400635,0.0,0.0004942877167907931,0.0,1.3847332215980145e-05,1.3803995140346774e-05,1.0,1,0.00017305312517268005,0.0,2
madi_barnes9,0.043478260869565216,0.022488755622188904,0.020989505247376312,0.29971246593316464,0.009665517407443676,0.0016958910286026042,0.01042389190873932,7.057895941006837e-05,6.217957559368808e-05,0.3333333333333333,51,0.0007881879916887449,0.11163600198906017,6
allie.sewald,0.1649175412293853,0.08245877061469264,0.08245877061469264,0.2824712211368364,0.0005696128920243965,0.002694080097984401,0.0005162225380569104,5.911792101403534e-06,5.836895892135973e-06,0.6363636363636364,945,7.610256726635375e-05,0.4450713414118471,3
charliedracos,0.3028485757121439,0.15442278860569714,0.14842578710644677,0.4178333098326077,0.024966058632267436,0.0033297803230284816,0.02864688825773533,0.009666612169167074,0.010019983435473284,0.5326480106605749,2798,0.12365282977514616,0.3563208814932066,8
lexxpino,0.07796101949025487,0.038980509745127435,0.038980509745127435,0.3361160387382222,0.00042836132876751336,0.0011056611367255813,0.0005280359811360466,0.0012185375689547679,0.0011956252264875694,0.5107692307692308,166,0.01510209049565125,0.1809763389113712,1
_angela.wei,0.09895052473763118,0.050974512743628186,0.047976011994003,0.3488640295236997,0.0007738965716861415,0.0013865176181731044,0.0008496523107103805,0.000885705103600204,0.0009248395870161381,0.5187165775401069,291,0.011180529191267037,0.2035117946638964,1
mle_quinn,0.0029985007496251873,0.0014992503748125937,0.0014992503748125937,0.17669736560291283,0.0,0.0006115911852332498,0.0,7.126629990881484e-10,7.025494577304131e-10,0.0,0,8.790586685121297e-09,0.0,9
