username,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,pagerank,load_centrality,hits_hub,hits_auth,clustering,triangles,eigenvector_centrality,square_clustering,community
alyssa_traugh,0.05944055944055944,0.027972027972027972,0.03146853146853147,0.20234113712374582,0.0034988208672419203,0.0059437392475477245,0.003498854946223368,5.8254747395238665e-06,4.259710699718106e-06,0.7111111111111111,32,6.342056613009003e-05,0.48735632183908045,6
sarah.corrill,0.03496503496503497,0.017482517482517484,0.017482517482517484,0.24290537457797245,5.067140522225038e-05,0.001953029857788122,5.1928974836257386e-05,1.7268058302253164e-06,2.7649639090265757e-06,0.7333333333333333,11,4.067356037297276e-05,0.19668737060041408,1
sam.4.samm,0.013986013986013986,0.006993006993006993,0.006993006993006993,0.25789575663631076,0.0,0.0021166892008413793,0.0,3.5691491653215726e-05,3.550138632272944e-05,1.0,1,0.000454313216117226,0.0,6
garypeas962,0.04895104895104895,0.024475524475524476,0.024475524475524476,0.2618532362777887,0.004093499093499069,0.003584997952480868,0.004086615139246694,3.8888557090868266e-05,3.755698506145623e-05,0.8571428571428571,24,0.00048367659655752847,0.3111111111111111,6
emilynoelle19,0.055944055944055944,0.027972027972027972,0.027972027972027972,0.2954822954822955,0.004179887415415149,0.0025293863279781887,0.004446241152985375,3.3559284267349164e-05,3.1691900999154454e-05,0.5714285714285714,16,0.00041553668350661913,0.19068736141906872,1
dylan_hruska,0.045454545454545456,0.02097902097902098,0.024475524475524476,0.2223335838971018,9.306636730459445e-06,0.0019889599500592073,1.1581985266195793e-05,2.6552610998432656e-06,2.3848596103669936e-06,0.8571428571428571,18,3.791062519919482e-05,0.391812865497076,1
jai.dyn.s,0.07692307692307693,0.07692307692307693,0.0,0.27976292000682246,0.0,0.002439013305242308,0.0,-0.0,0.00548498992066683,0.683982683982684,158,0.05232857935405769,0.3888585472419443,4
hylandcecilia,0.03146853146853147,0.03146853146853147,0.0,0.2148439489750624,0.0,0.0027346636582480624,0.0,-0.0,1.1170125079932668e-06,0.75,27,1.752832187974606e-05,0.3242424242424242,1
brynnholl7,0.2937062937062937,0.12237762237762238,0.17132867132867133,0.335687263556116,0.005895983964969156,0.00351964306139679,0.006711176487714525,0.011479480747226843,0.008737883326584088,0.5575510204081633,683,0.08661761678046088,0.34857265048647496,4
dalekzelda45,0.0979020979020979,0.0979020979020979,0.0,0.3045207005383997,0.0,0.004391408277679946,0.0,-0.0,0.005518471818914059,0.373015873015873,141,0.051641378376293866,0.2460357503243477,6
alankerns4,0.24475524475524477,0.12237762237762238,0.12237762237762238,0.29893318360471643,0.000958308144672508,0.003936967605186963,0.0009416821505659307,0.008501999094418485,0.008165522438603594,0.6283391405342624,541,0.08860301387525941,0.39738751367088215,5
torguh,0.04195804195804196,0.027972027972027972,0.013986013986013986,0.2950565284859233,0.000446602254635318,0.00180878393073014,0.0006237083592104303,0.0004953292371151451,0.0016774521840557438,0.6111111111111112,22,0.018807054276784592,0.29066265060240964,5
shaun2556,0.3321678321678322,0.15034965034965034,0.18181818181818182,0.30291306326809286,0.0015937131821061358,0.004018757444296548,0.0016317238239104618,0.013356143275743807,0.011101442209628424,0.6214285714285714,957,0.10978688086690802,0.4016470194799766,5
bria.olson0_0,0.03496503496503497,0.03496503496503497,0.0,0.25775909483774656,0.0,0.002862212402459564,0.0,-0.0,6.183206001766307e-06,0.6888888888888889,31,7.9435888129217e-05,0.21451104100946372,1
ginny.royston,0.055944055944055944,0.03146853146853147,0.024475524475524476,0.2582209719662431,0.0027681693121122423,0.003076909637272942,0.0029669097598099834,4.78232768847293e-06,5.1826279359615784e-06,0.3333333333333333,12,6.594456098017565e-05,0.1458153580672994,1
amanda_hp1016,0.02097902097902098,0.01048951048951049,0.01048951048951049,0.21622938835188044,0.0005999659344318881,0.0021187775581358623,0.0005213700883557342,3.285794507007347e-07,3.3687417550270657e-07,0.0,0,5.696178486320643e-06,0.08695652173913043,1
ana.my_beloved,0.12237762237762238,0.05944055944055944,0.06293706293706294,0.3723076923076923,0.0194062309116681,0.004243503637785893,0.020149588429032125,0.001181878842612344,0.0011275949007700768,0.4444444444444444,68,0.012428623252053352,0.12946428571428573,1
maddiewalks,0.32167832167832167,0.15384615384615385,0.16783216783216784,0.34884025684707115,0.011958756525006387,0.004390516240499106,0.010892297986680337,0.011306387563908917,0.010312068123892312,0.5124016938898972,847,0.10477527021710166,0.33359843145901086,4
itme.maya,0.3111888111888112,0.15034965034965034,0.16083916083916083,0.37163199776629907,0.03915471654265899,0.005210522300059125,0.03770324522774337,0.008780929815933276,0.008174882045655243,0.39819004524886875,528,0.07833254513703082,0.2528719926846957,4
jbrawley_,0.26223776223776224,0.14335664335664336,0.11888111888111888,0.3020195144088949,0.0005514601249047355,0.0040446983218625585,0.000559031419267136,0.00901100349232936,0.010524372173930973,0.6859903381642513,710,0.10992925924297121,0.42627735443532627,5
ejbrueg7,0.055944055944055944,0.055944055944055944,0.0,0.3266851819067009,0.0,0.0040871811320485636,0.0,-0.0,0.0002869546427298843,0.6083333333333333,73,0.0037624464711686592,0.21593886462882095,1
donnajivan,0.06643356643356643,0.027972027972027972,0.038461538461538464,0.26218851570964247,0.005885644569855127,0.00422434725171724,0.005910828937144757,4.089174760555619e-05,3.831154728373941e-05,0.6727272727272727,37,0.0004954006416617362,0.2745314222712238,6
nataliemurnen,0.02097902097902098,0.02097902097902098,0.0,0.26813640904549996,0.0,0.002270587383038579,0.0,-0.0,1.8976935853018292e-05,0.4,6,0.00025386888755957594,0.12562814070351758,1
swdtsodeaborg,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.2595300770205713,3.8560288892000244e-05,0.0017331307907856924,3.72972833942724e-05,0.003219404562115975,0.003150786995852364,0.7727272727272727,51,0.03379685256754751,0.4964279491200558,5
webriprob,0.08391608391608392,0.08391608391608392,0.0,0.2801425169132089,0.0,0.0028062495315665163,0.0,-0.0,0.005709401632639103,0.7572463768115942,209,0.05922897693243576,0.4072359162921603,4
leahisgawne,0.1048951048951049,0.04895104895104895,0.055944055944055944,0.270144103917191,0.004663921961914913,0.0052909694955180645,0.004604812838194786,0.0002068519055559689,7.573973675397093e-05,0.5916666666666667,71,0.0008921534436503334,0.2671844660194175,6
cindystee,0.024475524475524476,0.01048951048951049,0.013986013986013986,0.2582209719662431,0.0,0.0022909849791244554,0.0,3.780697961803753e-05,3.6315752953155575e-05,1.0,6,0.00046690399988461685,0.14935064935064934,6
owen.pazderak,0.5034965034965035,0.24475524475524477,0.25874125874125875,0.34531067583344144,0.011363206628186951,0.006560165289907189,0.011916919299927515,0.017552995522562134,0.016009802670035374,0.503921568627451,1799,0.16422785010105723,0.3468358444480518,5
cat_named_egg,0.055944055944055944,0.055944055944055944,0.0,0.26503855579593705,0.0,0.003555482740488276,0.0,-0.0,1.1942660989110597e-05,0.5,60,0.0001464425656463918,0.22844827586206898,1
